iter	RMSE
0	939.5413391
1	912.9006573
2	887.0786683
3	862.4032605
4	838.6502583
5	815.8176844
6	794.9072128
7	774.4833901
8	754.6810308
9	734.6731146
10	716.0809512
11	697.8209952
12	680.9426387
13	665.60586
14	649.6097018
15	634.6971949
16	620.4817248
17	606.0662002
18	592.8675112
19	580.7157989
20	568.2449098
21	556.4619579
22	546.4653507
23	536.3662362
24	526.0599342
25	516.5437484
26	506.8902585
27	497.664565
28	489.5042101
29	481.2179246
30	472.9786226
31	465.3537936
32	458.2619169
33	451.8607951
34	446.0554298
35	439.8742957
36	433.6703073
37	428.70019
38	423.6076638
39	418.4262506
40	413.5595156
41	408.3207069
42	404.1242118
43	399.4561912
44	395.6155657
45	391.3033894
46	387.7235786
47	384.7212895
48	381.793485
49	378.8896138
50	376.0275247
51	373.047966
52	370.4266247
53	367.1476637
54	364.6738566
55	361.965798
56	359.3760892
57	357.5671282
58	355.8792542
59	354.0654601
60	352.7041669
61	350.3168925
62	348.1442272
63	346.5773972
64	344.7852589
65	342.5244322
66	341.3289819
67	339.3974585
68	337.7500905
69	336.4310394
70	335.0227042
71	333.2835746
72	332.1750872
73	331.0732261
74	330.0227027
75	328.8925082
76	327.5246498
77	326.3260204
78	325.6622901
79	324.6436858
80	323.4052513
81	322.4706942
82	321.406412
83	320.1022723
84	319.2905096
85	318.5234929
86	318.1768668
87	317.9550293
88	317.0669008
89	316.3199558
90	315.2904973
91	314.201771
92	313.3183835
93	312.7080249
94	311.8711449
95	311.4133634
96	310.5770117
97	310.2446226
98	309.1840621
99	308.9329055
100	308.0507908
101	307.4899156
102	306.80746
103	306.2897795
104	305.8712141
105	305.1834695
106	304.6844132
107	304.1323773
108	303.3761289
109	303.0682154
110	302.4724597
111	301.7700206
112	301.1155718
113	300.4817221
114	300.0286094
115	299.9099916
116	299.6475002
117	298.9963874
118	298.424764
119	297.750605
120	297.2646224
121	296.9478018
122	296.5786742
123	296.0448833
124	295.2919861
125	294.9547917
126	294.6390352
127	294.4681743
128	294.1356927
129	293.8936963
130	293.5240298
131	293.2152528
132	292.9192709
133	292.4798851
134	292.2702746
135	291.9451622
136	291.5863797
137	291.1528885
138	290.8905924
139	290.5987303
140	290.2384836
141	289.9590783
142	289.4779656
143	288.9267872
144	288.5924159
145	288.2534495
146	288.05779
147	287.656779
148	287.4228482
149	286.8720678
150	286.6556922
151	286.4422999
152	286.225407
153	285.9248621
154	285.5860985
155	285.3188623
156	285.1084489
157	285.0012891
158	284.5166061
159	284.3130642
160	284.0118316
161	283.6621743
162	283.4318801
163	283.0288228
164	282.5455499
165	282.2666697
166	281.9064172
167	281.5541233
168	281.1578876
169	280.7703099
170	280.4914746
171	280.3205254
172	280.0628286
173	279.9286857
174	279.4661284
175	279.3409926
176	278.9613241
177	278.6292754
178	278.3656689
179	278.2342507
180	278.0576829
181	277.8016785
182	277.5843964
183	277.1632146
184	276.9603553
185	276.7819058
186	276.4692428
187	276.1187823
188	275.9945874
189	275.7759781
190	275.5362645
191	275.3381439
192	275.1887583
193	275.0923789
194	274.9481064
195	274.7122076
196	274.4069263
197	274.2207429
198	274.0473508
199	273.9505523
200	273.7222727
201	273.5950917
202	273.4249039
203	273.1068173
204	272.8987414
205	272.7715779
206	272.417642
207	272.1538369
208	271.9576036
209	271.8930141
210	271.7845866
211	271.5245771
212	271.3696009
213	271.1509171
214	270.8722862
215	270.6279208
216	270.2819956
217	269.9812531
218	269.8976715
219	269.7705146
220	269.6418302
221	269.2939912
222	269.2192014
223	268.9703146
224	268.8438273
225	268.4371611
226	268.313214
227	268.1452478
228	267.9512298
229	267.865732
230	267.5513193
231	267.4633464
232	267.229343
233	266.9083908
234	266.6473591
235	266.5421443
236	266.321588
237	266.2018924
238	266.1312216
239	265.9380552
240	265.7288801
241	265.586547
242	265.3855345
243	265.1148312
244	264.9685913
245	264.8394797
246	264.6479575
247	264.5428
248	264.364714
249	264.1519755
250	263.9332113
251	263.8503463
252	263.5646403
253	263.4741162
254	263.2668904
255	263.1028476
256	263.0272533
257	262.8974939
258	262.7707063
259	262.69929
260	262.472157
