iter	Passed	Remaining
0	23	30739
1	53	34961
2	104	45276
3	138	45033
4	164	42565
5	188	40692
6	219	40591
7	252	40747
8	282	40570
9	313	40462
10	349	40963
11	399	42897
12	447	44324
13	486	44676
14	532	45647
15	577	46312
16	621	46906
17	657	46807
18	703	47451
19	748	47876
20	790	48170
21	829	48167
22	879	48803
23	938	49896
24	976	49826
25	1019	49970
26	1066	50304
27	1100	49997
28	1140	49997
29	1207	51115
30	1258	51526
31	1312	51995
32	1357	52110
33	1416	52760
34	1481	53547
35	1531	53779
36	1570	53606
37	1627	54046
38	1680	54346
39	1717	54086
40	1754	53871
41	1792	53683
42	1845	53947
43	1875	53523
44	1906	53181
45	1938	52833
46	1972	52582
47	2003	52269
48	2034	51944
49	2061	51548
50	2102	51491
51	2131	51163
52	2164	50937
53	2193	50607
54	2223	50329
55	2255	50095
56	2283	49794
57	2313	49547
58	2339	49217
59	2380	49204
60	2411	48984
61	2441	48759
62	2471	48526
63	2501	48301
64	2531	48093
65	2560	47879
66	2591	47691
67	2627	47600
68	2652	47314
69	2676	47038
70	2705	46834
71	2737	46688
72	2768	46525
73	2795	46318
74	2825	46156
75	2850	45911
76	2879	45728
77	2919	45735
78	2945	45520
79	2972	45334
80	3002	45187
81	3037	45111
82	3068	44987
83	3098	44860
84	3129	44730
85	3160	44619
86	3206	44712
87	3267	44996
88	3325	45243
89	3352	45079
90	3384	44965
91	3413	44818
92	3443	44691
93	3470	44531
94	3497	44363
95	3526	44222
96	3552	44058
97	3579	43902
98	3610	43797
99	3639	43679
100	3730	44290
101	3771	44300
102	3799	44153
103	3827	44013
104	3856	43892
105	3884	43756
106	3927	43794
107	3958	43685
108	3991	43616
109	4024	43533
110	4055	43436
111	4085	43336
112	4114	43218
113	4142	43100
114	4170	42978
115	4205	42920
116	4243	42902
117	4276	42840
118	4303	42712
119	4332	42606
120	4362	42507
121	4391	42400
122	4418	42280
123	4446	42172
124	4490	42207
125	4522	42138
126	4555	42072
127	4586	41998
128	4619	41933
129	4660	41942
130	4701	41952
131	4738	41931
132	4779	41933
133	4822	41966
134	4853	41887
135	4886	41822
136	4913	41713
137	4942	41613
138	4969	41506
139	4997	41408
140	5028	41334
141	5061	41275
142	5090	41183
143	5117	41078
144	5153	41052
145	5182	40963
146	5211	40878
147	5237	40765
148	5264	40670
149	5294	40593
150	5322	40497
151	5349	40402
152	5388	40393
153	5413	40288
154	5441	40193
155	5468	40100
156	5496	40012
157	5522	39917
158	5549	39823
159	5579	39753
160	5606	39662
161	5635	39586
162	5665	39519
163	5693	39437
164	5721	39355
165	5747	39261
166	5775	39181
167	5802	39098
168	5831	39028
169	5861	38963
170	5889	38881
171	5926	38868
172	5953	38781
173	5979	38692
174	6006	38614
175	6032	38525
176	6061	38458
177	6087	38371
178	6117	38309
179	6147	38251
180	6188	38262
181	6216	38184
182	6245	38118
183	6272	38041
184	6298	37961
185	6326	37889
186	6356	37830
187	6382	37752
188	6407	37667
189	6437	37611
190	6476	37606
191	6502	37524
192	6529	37453
193	6562	37412
194	6589	37340
195	6619	37284
196	6646	37213
197	6672	37136
198	6703	37086
199	6732	37026
200	6761	36971
201	6788	36898
202	6820	36856
203	6848	36793
204	6877	36734
205	6906	36680
206	6935	36618
207	6971	36599
208	7000	36544
209	7026	36468
210	7054	36411
211	7084	36358
212	7114	36308
213	7148	36277
214	7176	36214
215	7216	36215
216	7246	36163
217	7276	36115
218	7304	36057
219	7333	35998
220	7359	35933
221	7388	35879
222	7418	35829
223	7451	35796
224	7481	35743
225	7511	35698
226	7552	35697
227	7593	35700
228	7648	35771
229	7689	35774
230	7730	35773
231	7781	35820
232	7850	35948
233	7908	36027
234	7943	36000
235	7980	35981
236	8015	35953
237	8050	35923
238	8082	35879
239	8114	35840
240	8148	35807
241	8178	35757
242	8231	35804
243	8262	35759
244	8311	35789
245	8343	35749
246	8379	35723
247	8414	35694
248	8458	35704
249	8510	35744
250	8548	35725
251	8581	35687
252	8616	35657
253	8647	35612
254	8679	35567
255	8714	35537
256	8744	35489
257	8774	35436
258	8805	35390
259	8838	35355
260	8880	35352
261	8911	35304
262	8942	35259
263	8972	35211
264	9004	35170
265	9032	35109
266	9063	35066
267	9092	35011
268	9136	35017
269	9165	34966
270	9196	34918
271	9228	34877
272	9257	34824
273	9285	34768
274	9312	34708
275	9339	34651
276	9368	34599
277	9398	34551
278	9507	34791
279	9549	34787
280	9582	34749
281	9616	34713
282	9645	34664
283	9676	34615
284	9705	34565
285	9740	34533
286	9768	34479
287	9803	34448
288	9830	34391
289	9864	34354
290	9893	34302
291	9934	34295
292	9966	34252
293	9995	34200
294	10026	34156
295	10053	34099
296	10082	34049
297	10110	33995
298	10145	33964
299	10179	33932
300	10209	33884
301	10242	33847
302	10272	33801
303	10303	33755
304	10332	33706
305	10360	33653
306	10388	33602
307	10417	33553
308	10446	33503
309	10479	33468
310	10508	33417
311	10537	33367
312	10573	33341
313	10600	33288
314	10628	33235
315	10658	33190
316	10688	33144
317	10725	33121
318	10757	33082
319	10787	33036
320	10833	33039
321	10864	32999
322	10898	32966
323	10930	32927
324	10963	32890
325	10996	32856
326	11031	32824
327	11077	32825
328	11114	32803
329	11143	32754
330	11169	32698
331	11202	32662
332	11233	32622
333	11265	32582
334	11296	32539
335	11327	32499
336	11360	32464
337	11399	32446
338	11431	32406
339	11462	32364
340	11491	32317
341	11519	32266
342	11547	32218
343	11573	32162
344	11602	32115
345	11642	32102
346	11669	32049
347	11695	31994
348	11720	31938
349	11745	31881
350	11775	31837
351	11806	31796
352	11833	31744
353	11862	31699
354	11887	31644
355	11921	31611
356	11950	31567
357	11979	31521
358	12005	31469
359	12037	31431
360	12064	31381
361	12091	31331
362	12116	31277
363	12142	31224
364	12168	31170
365	12195	31121
366	12225	31079
367	12252	31030
368	12279	30982
369	12308	30936
370	12338	30896
371	12363	30841
372	12394	30802
373	12427	30770
374	12454	30720
375	12479	30668
376	12505	30617
377	12531	30566
378	12557	30515
379	12589	30479
380	12616	30432
381	12641	30379
382	12676	30350
383	12704	30304
384	12730	30256
385	12757	30207
386	12784	30161
387	12810	30112
388	12835	30060
